Country ,Continent,female literacy,fertility,population
Jordanie,ASI,88.9,3.019,5906043
Nicaragua,LAT,77.9,2.683,5667325
Sierra Leone,AF,28.9,5.165,5559853
Denmark,EUR,99,1.849,5493621
Finland,EUR,100,1.836,5313399
Kirghizistan,ASI,99.1,2.518,5277900
Turkménistan,ASI,99.3,2.43,5043618
Erythrée,AF,54.5,4.528,4926877
Singapour,ASI,91.6,1.263,4839400
Norway,EUR,100,1.885,4768212
Costa Rica,LAT,96.2,1.943,4519126
Emirats arabes unis,ASI,91.5,1.899,4484935
Croatie,EUR,98,1.442,4434000
Ireland,EUR,99,1.953,4425675
République centrafricaine,AF,41.1,4.697,4339263
Géorgie,ASI,99.7,1.582,4307011
New Zealand,OCE,99,2.025,4268900
Liban,ASI,86,1.841,4193758
Libéria,AF,53,5.011,3793400
Bosnie-Herzégovine,EUR,95.9,1.212,3773100
République de Moldova,EUR,97.8,1.502,3633369
Panama,LAT,92.8,2.516,3398823
Lituanie,EUR,99.7,1.367,3358115
Uruguay,LAT,98.5,2.089,3334052
Mauritanie,AF,49.5,4.388,3215043
Albanie,EUR,98.7,1.854,3143291
Arménie,ASI,99.4,1.748,3077087
Oman,ASI,80.9,2.978,2785361
Koweït,ASI,93.1,2.152,2728041
Jamaïque,LAT,90.8,2.362,2687200
Mongolie,ASI,97.8,1.988,2641216
Lettonie,EUR,99.8,1.426,2266094
Namibie,AF,87.7,3.29,2129854
Lesotho,AF,95.1,3.264,2049429
L'ex-Rép. yougoslave de Macédoine,EUR,95.4,1.436,2041342
Slovénie,EUR,99.7,1.393,2021316
Botswana,AF,83.5,2.822,1921122
Gambie,AF,34.3,4.969,1660200
Guinée-Bissau,AF,36.5,5.659,1575446
Gabon,AF,83.2,3.24,1448159
Estonie,EUR,99.8,1.693,1340675
Trinité-et-Tobago,LAT,98.2,1.647,1333388
Qatar,ASI,90.4,2.36,1280862
Maurice,AF,84.8,1.792,1268854
Swaziland,AF,85.6,3.45,1167834
Chypre,EUR,96.7,1.516,862434
Bahreïn,ASI,89.4,2.233,775585
Bhoutan,ASI,38.7,2.563,686789
Guinée équatoriale,AF,89.1,5.283,659197
Comores,AF,67.8,3.885,643571
Macao. Chine,ASI,90.7,0.966,526178
Suriname,LAT,88.4,2.373,515124
Cap-Vert,AF,79.3,2.663,498672
Malte,EUR,93.5,1.251,411950
Brunéi Darussalam,ASI,93.3,2.052,392280
Bahamas,LAT,96.5,3.371,337668
Iceland,EUR,99,2.093,317414
Maldives,ASI,98.4,2,305027
Vanuatu,OCE,79.5,3.883,233866
Samoa,OCE,98.5,3.852,178869
Sao Tomé-et-Principe,AF,83.3,3.718,160174
Aruba,LAT,98,1.732,105455
Tonga,ASI,99.1,3.928,103566
